USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       136  0.0  0.4   9944  4216 ?        Ss   Feb26   0:04 /lib/systemd/systemd-journald
root       138  0.0  0.3  11932  3116 ?        Ss   Feb26   0:00 /lib/systemd/systemd-udevd
root       189  0.0  0.0      0     0 ?        S    Feb26   0:00 [spi0]
root       221  0.0  0.0      0     0 ?        S<   Feb26   0:00 [cfg80211]
root       230  0.0  0.0      0     0 ?        S<   Feb26   0:00 [brcmf_wq/mmc1:0]
root       231  0.0  0.0      0     0 ?        S    Feb26   0:50 [brcmf_wdog/mmc1]
root       417  0.0  0.3   7156  3236 ?        Ss   Feb26   0:02 /sbin/wpa_supplicant -s -B -P /run/wpa_supplicant.wlan0.pid -i wlan0 -D nl80211,wext -c /etc/wpa_supplicant/wpa_supplicant.conf
root       446  0.0  0.2  32144  2812 ?        Ssl  Feb26   0:00 /usr/sbin/rsyslogd -n
root       447  0.0  0.2   5072  2392 ?        Ss   Feb26   0:00 /usr/sbin/cron -f
avahi      450  0.0  0.2   3996  2592 ?        Ss   Feb26   0:27 avahi-daemon: running [dez.local]
nobody     469  0.0  0.1   2292  1436 ?        Ss   Feb26   0:01 /usr/sbin/thd --daemon --triggers /etc/triggerhappy/triggers.d/ --socket /var/run/thd.socket --pidfile /var/run/thd.pid --user nobody /dev/input/event0 /dev/input/event1 /dev/input/event2
root       470  0.0  0.1   2564  1840 ?        Ss   Feb26   0:03 /sbin/dhcpcd -q -b
message+   471  0.0  0.3   5624  3084 ?        Ss   Feb26   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
avahi      478  0.0  0.1   3876  1448 ?        S    Feb26   0:00 avahi-daemon: chroot helper
root       516  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/1:1H]
root       536  0.0  0.4  10216  4192 ?        Ss   Feb26   0:00 /usr/sbin/cups-browsed
root       538  0.0  0.2   3852  2420 ?        Ss   Feb26   0:01 /lib/systemd/systemd-logind
root       547  0.0  0.4   7864  4420 ?        Ss   Feb26   0:01 /usr/sbin/sshd -D
root       561  0.0  0.2   6288  2696 ?        S    Feb26   0:00 /usr/sbin/cnid_metad -l log_note
root       585  0.0  0.4  19712  4580 ?        Sl   Feb26   0:04 /usr/sbin/afpd -U uams_dhx2.so,uams_clrtxt.so -g nobody -c 50 -n dez
root       589  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/3:1H]
root       607  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/0:1H]
colord     632  0.0  1.2  47312 12184 ?        Ssl  Feb26   0:00 /usr/lib/colord/colord
ntp        635  0.0  0.4   5688  3844 ?        Ss   Feb26   0:15 /usr/sbin/ntpd -p /var/run/ntpd.pid -g -u 106:111
root       638  0.0  0.2   5856  2820 tty1     Ss   Feb26   0:00 /bin/login -f   
root       650  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/u9:0]
root       651  0.0  0.0      0     0 ?        S<   Feb26   0:00 [hci0]
root       652  0.0  0.0      0     0 ?        S<   Feb26   0:00 [hci0]
root       654  0.0  0.0   2068   148 ?        S    Feb26   0:00 /usr/bin/hciattach /dev/serial1 bcm43xx 921600 noflow -
root       655  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/u9:2]
root       662  0.0  0.3   5008  3336 ?        Ss   Feb26   0:00 /usr/lib/bluetooth/bluetoothd
pi         679  0.0  0.3   4976  3240 ?        Ss   Feb26   0:00 /lib/systemd/systemd --user
pi         685  0.0  0.1   6964  1296 ?        S    Feb26   0:00 (sd-pam)  
pi         690  0.0  0.4   6560  4420 tty1     S+   Feb26   0:00 -bash
root      5484  0.0  0.6  22224  6388 ?        Ssl  Feb27   0:00 /usr/sbin/cupsd -f
